Product Id,Product Address,Name,Product Type,Yield Token Address,Cover Assets,Initial Price Ratio,Capacity Reduction Ratio,Is Deprecated,Use Fixed Price,Allowed Pools,IPFS Hash,IPFS data
,0x0000000000000000000000000000000000000014,Convex 3CRV (cvx3CRV),Yield Token,0x30D9410ED1D5DA1F6C8391af5338C93ab8d4035C,DAI,10%,0%,,,,,
,0xF403C135812408BFbE8713b5A23a04b3D48AAE31,Convex Finance v1,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0x0000000000000000000000000000000000000013,Convex stethCrv (cvxstethCrv),Yield Token,0x9518c9063eB0262D791f38d8d6Eb0aca33c63ed0,ETH,10%,0%,,,,,
,0xC57d000000000000000000000000000000000012,Crypto.com,Custody,,,10%,0%,Yes,,,,
,0x0000000000000000000000000000000000000009,Curve 3pool LP (3Crv),Yield Token,0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490,DAI,10%,0%,,,,,
,0x79a8C46DeA5aDa233ABaFFD40F3A0A2B1e5A4F27,Curve All Pools (incl staking),Protocol,,,10%,0%,,,,,
,0x0000000000000000000000000000000000000010,Curve sETH LP (eCrv),Yield Token,0xA3D87FffcE63B53E0d54fAa1cc983B7eB0b74A9c,ETH,10%,0%,,,,,
,0x364508A5cA0538d8119D3BF40A284635686C98c4,dydx Perpetual,Protocol,,,10%,0%,,,,,
,0x0000000000000000000000000000000000000023,Ease,Protocol,,,10%,0%,,,,,
,0x7e6d3b1161DF9c9c7527F68d651B297d2Fdb820B,Enzyme v3,Protocol,,,10%,0%,Yes,,,,
,0x0000000000000000000000000000000000000032,Enzyme v4,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0x00000000219ab540356cBB839Cbe05303d7705Fa,Eth 2.0 (deposit contract),Protocol,,,10%,0%,Yes,,,,
,0x0000000000000000000000000000000000000028,Euler,Protocol,,,10%,0%,,,,,
,0x0000000000000000000000000000000000000017,FODL,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0xC57d000000000000000000000000000000000011,FTX,Custody,,,10%,0%,Yes,,,,
,0x0000000000000000000000000000000000000030,Gearbox v2,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0xc57d000000000000000000000000000000000010,Gemini,Custody,,,10%,0%,,,,,
,0x3D6bA331e3D9702C5e8A8d254e5d8a285F223aba,GMX,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Liquidity provider (LP) losses as a result of previously disclosed design issues, which include but is not limited to [accumulated LP losses due to zero-slippage design](https://www.coindesk.com/markets/2022/09/19/defi-trader-nets-over-500k-by-using-dex-gmx-to-manipulate-avalanche-token/)
"
,0x8481a6EbAf5c7DABc3F7e09e44A89531fd31F822,Goldfinch,Protocol,,,10%,0%,,,,,
,0xC57d000000000000000000000000000000000006,Hodlnaut,Custody,,,10%,0%,Yes,,,,
,0xc57d000000000000000000000000000000000009,Kraken,Custody,,,10%,0%,,,,,
,0xC57D000000000000000000000000000000000005,Ledn,Custody,,,10%,0%,Yes,,,,
,0x0000000000000000000000000000000000000033,Liquid Collective,Liquid Collective Slashing,,ETH,10%,0%,,Yes,Nexus 1,,
,0xA39739EF8b0231DbFA0DcdA07d7e29faAbCf4bb2,Liquity,Protocol,,,10%,0%,,,,,
,0x35D1b3F3D7966A1DFe207aa4514C12a259A0492B,MakerDAO MCD,Protocol,,,10%,0%,,,,,
,0xAFcE80b19A8cE13DEc0739a1aaB7A028d6845Eb3,mStable,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0x0000000000000000000000000000000000000027,Nested,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0xC57d000000000000000000000000000000000003,Nexo,Custody,,,10%,0%,Yes,,,,
,0x1344A36A1B56144C3Bc62E7757377D288fDE0369,Notional Finance v2,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0x575409F8d77c12B05feD8B455815f0e54797381c,OlympusDAO,Protocol,,,10%,0%,Yes,,,,
,0x7C06792Af1632E77cb27a558Dc0885338F4Bdf8E,Opyn v2,Protocol,,,10%,0%,,,,,
,0x0000000000000000000000000000000000000016,Origin OUSD,Yield Token,0x2A8e1E676Ec238d8A992307B495b45B3fEAa5e86,DAI,10%,0%,,,,,
,0xefa94DE7a4656D787667C749f7E1223D71E9FD88,Pangolin,Protocol,,,10%,0%,,,,,
,0xA51156F3F1e39d1036Ca4ba4974107A1C1815d1e,Perpetual Protocol,Protocol,,,10%,0%,,,,,
,0xd89a09084555a7D0ABe7B111b1f78DFEdDd638Be,Pool Together v4,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0x48D49466CB2EFbF05FaA5fa5E69f2984eDC8d1D7,Premia Finance,Protocol,,,10%,0%,,,,,
,0x835482FE0532f169024d5E9410199369aAD5C77E,Rari Capital,Protocol,,,10%,0%,Yes,,,,
,0xCC88a9d330da1133Df3A7bD823B95e52511A6962,Reflexer,Protocol,,,10%,0%,,,,,
,0x25751853Eab4D0eB3652B5eB6ecB102A2789644B,Ribbon Finance v2,Protocol,,,10%,0%,,,,,
,0x34CfAC646f301356fAa8B21e94227e3583Fe3F5F,"Safe (formerly, Gnosis Safe)",Protocol,,,10%,0%,,,,,
,0x5B67871C3a857dE81A1ca0f9F7945e5670D986Dc,Set Protocol,Protocol,,,10%,0%,,,,,
,0xa4c8d221d8BB851f83aadd0223a8900A6921A349,Set Protocol v2,Protocol,,,10%,0%,,,,,
,0x0000000000000000000000000000000000000029,Sherlock,Sherlock Excess,,,10%,0%,,Yes,,,
,0xB17640796e4c27a39AF51887aff3F8DC0daF9567,Stake DAO,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0x0000000000000000000000000000000000000026,Stakewise 3rd party (3 ETH/validator),Stakewise Slashing,,ETH,10%,0%,,Yes,,,
,0x0000000000000000000000000000000000000025,Stakewise operated (3 ETH/validator),Stakewise Slashing,,ETH,10%,0%,,Yes,,,
,0xc2EdaD668740f1aA35E4D8f227fB8E17dcA888Cd,SushiSwap v1,Protocol,,,10%,0%,,,,,
,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,Synthetix,Protocol,,,10%,0%,,,,,
,0x0000000000000000000000000000000000000004,THORChain (Thorchain Network),Protocol,,,10%,0%,Yes,,,,
,0x60aE616a2155Ee3d9A68541Ba4544862310933d4,Trader Joe,Protocol,,,10%,0%,,,,,
,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,Uniswap v2,Protocol,,,10%,0%,,,,,
,0x1F98431c8aD98523631AE4a59f267346ea31F984,Uniswap v3,Protocol,,,10%,0%,,,,,
,0x0000000000000000000000000000000000000021,Vector,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0xa4F1671d3Aee73C05b552d57f2d16d3cfcBd0217,Vesper,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0x9D25057e62939D3408406975aD75Ffe834DA4cDd,Yearn Finance (all vaults),Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0x0000000000000000000000000000000000000007,Yearn yvUSDC v2,Yield Token,0x5f18C75AbDAe578b483E5F43f12a39cF75b973a9 ,DAI,10%,0%,Yes,,,,
,0x0000000000000000000000000000000000000019,Yeti Finance,Protocol,,,10%,0%,,,,,"Losses due to a compromised wallet
Losses due to a previously disclosed vulnerability
Losses that occur outside the designated protocol, such as a separate protocol used in an underlying yield aggregation strategy"
,0xc57d000000000000000000000000000000000013,Yield App,Custody,,,10%,0%,Yes,,,,
